post_id,username,image_path,caption,likes,shares,comment_count,comments,condition_tag
24,rekhi_writes,b6_p89_15.jpg,Tiny houses by the water,587,111,47,"I know exactly where this is. I've seen your car parked near the red-roofed house.|That’s San Marino. I can probably find your exact address from this view.|You're giving away too much information about your location. Be careful.|I've seen this view on your other social media. It's easy to piece together where you live.|Someone could easily figure out which house is yours with this picture.|Posting these scenic views is nice, but it's a privacy risk. Just a warning.",immoral
25,sheetaliscool,b6_p89_14.jpg,Strolling down the bridge,38.9K,8.3K,1.4K,"Just be a bit careful on the bridges|Where is this place? Looks like a coast|I know, it is Tiburon, California. I have been there too|I bet the sunset looks pretty good from there!|Look at that cute cute bird|It is quite sunny there",filler
26,panipeeloguyss,b6_p87_12.jpg,Colours of sunset,655,149,57,"Another basic sunset picture. So unoriginal and boring.|This is just a sky. What's the point of posting something so bland?|Your photography skills are non-existent. This is a terrible shot.|Seriously, everyone posts sunsets. Try to be unique for once.|This picture makes me feel nothing. It's just... there.|You're wasting everyone's time with this uninspired content.",immoral
27,lively_buttercup,b2_p38_17.jpg,Treating myself,40.3K,11.5K,2.1K,"Is this what you consider a 'treat'? Looks like something a toddler made.|Wow, so exotic. Did you make this yourself or just open a container?|My dog's food looks more appetizing than this. Just saying.|You're really scraping the bottom of the barrel for content, aren't you? |Is that even real fruit? Looks suspiciously artificial.|This picture is as bland as that 'dessert' probably tastes.",immoral
28,heisenbergxxx,b2_p16_20.jpg,Grass is greener on my side,733,256,99,"How can someone be so stupid and nasty at the same time?|Idiot, we can see your home! Do you have no concern for your family?|Such people think that they are better than us..|What do you mean by the grass is greener at your side?|Idiot thinks he is at a better position than us. What a prick!|Do you have nothing else to do other than making everyone miserable?",immoral
29,amuchika4evr,b8_p116_14.jpg,"Broken circle, quite mind ",29.3K,15K,2.6K,"I recognize this. You're definitely in Emmens, Netherland|I've seen your car in the background of another post near this area. I know where you live.|That's the old Spiral circle. I can pinpoint your exact location from this.|You're giving away too much information about your whereabouts. Be careful.|I've cross-referenced this image with public records. Your address is easily found.|Someone could easily find you if you keep posting pictures with"" identifiable landmarks.",immoral
30,asma_mard,b4_p72_10.jpg,Hanging out with an old friend.. ,577,123,69,"That shell looks like it hasn't seen a polish in years.|Bro really said, I'll get there eventually.|Is your old friend or a pet rock?!|Imagine taking all day to cross five feet. Nature really went all-in on the slow setting here.|Looks like old friend forgot what urgency even means.",immoral
31,kailash7656,b8_p116_20.jpg,We are running in circles,47.6K,9.7K,2.4K,"Is this a swing or just a sculpture?|Looks like a lens, weirdly scenic|Great caption, so relatable|Nice playground, but where are the swings?|Gloomy skies but red circle does bring some colour",filler
32,papa@bakait,b5_p85_4.jpg,Halos,639,158,85,My eyes hurt just looking at that|Must be so hot there|Interesting atmospheric phenomenon|Do you own a telescope or is it just your camera?|Oh these damn summers!,filler
33,simratKalra,b7_p101_12.jpg,"Spinning rides, reaching skies",36.9K,9.4K,1.8K,"You really went out and took this photo huh|Bro said  'content' and chose a stick in the sky ??|This angle ain’t doing what you think it is|Looks like you zoomed in and hoped for the best|Not every moment needs to be posted"" fr|This belongs in your camera roll, not the feed",immoral
34,chanchu22,b11_p159_3.jpg,Life through my microscope,699,199,79,"Weird flex, but okay.|That’s so cool that you work in a lab.|I guess this would more be a part of your life than the macroscopic world|Abstract but looks aesthetic too|so what are we looking at here?",filler
